mission_cleaned,profil_cleaned,title_cleaned,cluster,famille_poste,technical_skills,soft_skills,qualifications,technical_skills_count,soft_skills_count,years_experience,education_level,languages
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,vendeurs conseils,0,Support / Service Client,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie electricite luminaire sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,vendeurs conseil materiaux construction,29,Business Intelligence / Data,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie electricite luminaire sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,vendeurs conseil materiaux construction,29,Business Intelligence / Data,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie electricite luminaire sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,vendeurs conseil materiaux construction,29,Business Intelligence / Data,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie electricite luminaire sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,vendeurs conseil materiaux construction,29,Business Intelligence / Data,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie electricite luminaire sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv photo lm mentionnant pretentions salariales references professionnelles certificats travail,vendeurs conseil materiaux construction,29,Business Intelligence / Data,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite candidature doit etre composee cv lettre motivation pretention salariale certificats travail contacts references professionnels,vendeurs conseil,9,Vendeurs,,,,0,0,,,
societe recherche vendeur experience vente produits cosmetiques produits naturels attributions accueil conseil clients presentation information conseils differents produits offres preparation ventes commandes encaissement mise rayon installation produits entretien tenue lieu vente stockage,aisance relationnelle sens accueil dynamisme bonne presentation capacite apprendre rapidement esprit equipe disponible suite experience vente produits cosmetiques produits naturels habitant quartier ankorondrano analamahintsy,vendeur commercial,0,Support / Service Client,sem,,,1,0,,,
passionne beaute conseil client tendances cosmetiques rejoignez equipe dynamique contribuez offrir experience unique clientele accueillir conseiller fideliser clientele fournir consultations personnalisees produits cosmetiques soins peau effectuer analyses approfondies peau evaluer besoins specifiques clients conseiller clients assurer vente produits naturels cosmetiques bien etre sante accessoires etc veiller bonne tenue espace vente mise rayon proprete merchandising realiser encaissements suivre objectifs vente,premiere experience reussie vente idealement cosmetiques etes souriant dynamique ecoute oriente satisfaction client aimez contact humain gout prononce univers beaute bonne presentation excellent relationnel aisance communication essentiels bonne connaissance outils informatiques vente si correspondez profil merci adresser dossier candidature cv lettre motivation pretention salariale via site,vendeur cosmetiques,0,Support / Service Client,sem,analyse,,1,1,,,
superviser ensemble operations point vente veillant respect standards qualite presentation organisation accueillir clients conseiller produits mettant avant caracteristiques avantages repondre besoins clients offrant experience achat agreable assurer suivi rigoureux stocks realiser reapprovisionnements necessaires organiser produits magasin gerer operations caisse rigueur precision,experience vente poste similaire souhaitee sens accueil ecoute service client aisance outils informatiques caisse gestion stock dynamisme reactivite esprit equipe disponibilite horaires flexibles compris week ends,vendeur,0,Support / Service Client,"go, sem","rigueur, organisation",,2,2,,,
envie rejoindre aventure pleine saveurs nouvelle fromagerie ouvert recrute vendeurs euses dynamiques passionne faire vivre experience unique clients poste pourvoir vendeur euse specialise temps plein role accueillir conseiller regaler clients produits exception faire boutique adresse incontournable lieu travail,bac commerce marketing communication management hotellerie equivalent bonne humeur toute epreuve sens contact client fait difference passion bons produits terroir envie partager experience secteur vente alimentaire surtout si concerne produits frais artisanaux encore fromages aise francais oral ecrit si parles anglais bonus interesse envoie cv maintenant hate compter parmi,vendeur euse specialise,0,Support / Service Client,,,,0,0,,,
envie rejoindre aventure pleine saveurs nouvelle fromagerie sandwicherie ouvert recrute vendeurs euses polyvalents snack dynamiques passionne faire vivre experience unique clients poste pourvoir vendeur euse polyvalent temps plein role accueillir conseiller regaler clients produits exception faire boutique sandwicherie adresse incontournable lieu travail,bac restauration hotellerie commerce marketing equivalent bonne humeur toute epreuve sens contact clients fait difference passion bons produits terroir envie partager experience secteur vente alimentaire surtout si concerne produits frais artisanaux encore fromages aise francais oral ecrit si parles anglais bonus interesse envoie cv maintenant hate compter parmi,vendeur euse polyvalent,0,Support / Service Client,,,,0,0,,,
vendre promouvoir image marques vehicules representees materauto aupres clients assurer relance suivi developpement portefeuilles clients assurer satisfaction clients travailler suivant regles art suivant norme iso normes marques participer mesure satisfaction clients suivi actions correctives,titulaire bac option commerce marketing experience ans minimum vente automobile exigee bonne maitrise techniques vente qualites relationnelles sens commercial service developpes maitrise francais anglais integre honnete rigoureux dynamique proactif ve,vendeur vehicules neufs occasion,0,Support / Service Client,,,,0,0,,,
vendre promouvoir image marques vehicules representees entreprise aupres clients assurer relance suivi developpement portefeuilles clients,titulaire bac option commerce marketing experience ans minimum vente automobile exigee bonne maitrise techniques vente qualites relationnelles sens commercial service developpes maitrise francais anglais integre honnete rigoureux dynamique proactif ve,vendeur vehicules,0,Support / Service Client,,,,0,0,,,
accueil conseil client facturation preparation ventes mise rayon installation produits rangement entreposage marchandises suivi gestion stocks entretien tenue lieu vente stockage,homme ans bac commerce experience minimum ans domaine vente magasin attestation emploi appui maitrise outil informatique francais parle ecris contact facile personnes apte travailler sous pression sachant travailler equipe bonne forme physique,vendeur polyvalent magasin h,0,Support / Service Client,,,,0,0,,,
vendeur equipements engins responsable promotion vente pieces equipements destines divers types engins construction agricole industriel etc role exige connaissance approfondie produits competences vente service client ainsi capacite etablir relations confiance clients promouvoir vendre pieces equipements engins aupres clients existants potentiels assurer service client haute qualite fideliser clients atteindre depasser objectifs vente fixes entreprise prospection acquisition clients identifier demarcher nouveaux clients potentiels maintenir fichier prospects clients jour participer salons evenements professionnels promouvoir produits vente negociation presenter demontrer equipements clients comprendre besoins clients proposer solutions adaptees negocier termes conditions vente prix delais garanties suivi service apres vente assurer suivi commandes livraison equipements gerer reclamations assurer satisfaction clients organiser suivre interventions techniques necessaires apres vente reporting analyse rendre compte regulierement activites vente resultats analyser tendances marche concurrence proposer actions correctives ameliorations atteindre objectifs vente,diplome commerce mecanique genie industriel experience equivalente experience significative vente equipements engins secteur connexe connaissance approfondie equipements engins fonctionnalites caracteristiques techniques connaissance electricite hydraulique mecanique maitrise techniques vente negociation excellentes competences communication relations interpersonnelles capacite travailler maniere autonome prendre initiatives organisation gestion temps aptitude communiquer couramment francais anglais,vendeur pieces detachees equipements engins poids lourd,0,Support / Service Client,go,"analyse, negociation",,1,2,,,
rattache responsable pieces detachees vendeur mission assurer coordonner gestions physiques administratives commerciales magasin etre interlocuteur direct clients acheteurs pieces detachees tenir image marque societe responsabilites accueillir clients magasin suivre clients afin convaincre acheter etablir factures vente manuelles manifold prenumerote aviser cdg encaissement paiements envoyer regulierement etat ventes responsables pieces detachees vue facturation sia assurer suivi verification mouvements tenue fiche article controler etat pieces reception signaler toute anomalie gerer comptage physique stocks comparer stocks physiques stocks theoriques identifier causes ecarts preparer inventaires informer superieurs hierarchiques toute difficulte rencontree assurer rangement emplacement pieces veiller proprete magasin,diplome baccalaureat formation mecanique automobile minimum annees experiences tant magasinier vendeur pieces detachees qualites personnelles rigueur honnetete integrite organisation,vendeur pieces detachees,0,Support / Service Client,"vue, sem",,,2,0,,,
vendre prospection comptoir marques motos representees materauto aupres clients revendeurs societes particuliers orienter clients processus vente depuis emission bc jusqu activation livraison assurer preparation suivi archivage dossiers motos vendues toutes autres taches administratives departement assurer satisfaction clients travailler suivant regles art suivant norme iso normes marques participer mesure satisfaction clients suivi actions correctives,titulaire bac commerce gestion experience moins ans domaine vente motos connaissances mecanique passion milieu deux roues aisance utilisation informatique bureautique word excel bon niveau francais oral ecrit anglais atout titulaire permis b excellent negociateur aise prospection nouveaux clients capacite adapter clientele variee force proposition dynamique autonome organise reactif ve honnete,vendeur motos neufs,0,Support / Service Client,,,,0,0,,,
vendeur equipements engins responsable promotion vente suivi apres vente engins construction vehicules poids lourds doit developper portefeuille clients atteindre objectifs vente fixes entreprise promouvoir vendre engins aupres clients existants potentiels vendre equipements adaptes engins proposes assurer service client haute qualite fideliser clients atteindre depasser objectifs vente fixes entreprise prospection developpement clientele identifier nouveaux clients potentiels biais prospection terrain appels telephoniques recherches marche developper entretenir reseau clients incluant visites regulieres participation salons professionnels evenements secteur presentation vente produits presenter expliquer caracteristiques avantages specificites techniques engins poids lourds clients preparer soumettre offres commerciales devis personnalises negociation conclusion ventes negocier termes conditions ventes compris prix delais livraison modalites paiement conclure ventes veiller toutes conditions contractuelles respectees rediger faire signer contrats vente suivi commandes service apres vente assurer suivi commandes depuis validation jusqu livraison coordonner services techniques preparation livraison vehicules gerer reclamations clients organiser interventions techniques necessaires reporting analyse suivre performances vente preparer rapports reguliers direction analyser tendances marche concurrence afin ajuster strategies vente proposer actions correctives atteindre objectifs vente,diplome commerce mecanique genie industriel experience equivalente experience significative vente equipements engins secteur connexe connaissance approfondie equipements engins fonctionnalites caracteristiques techniques connaissance electricite hydraulique mecanique maitrise techniques vente negociation excellentes competences communication relations interpersonnelles capacite travailler maniere autonome prendre initiatives organisation gestion temps aptitude communiquer couramment francais anglais,vendeur equipements engins,0,Support / Service Client,go,"analyse, negociation",,1,2,,,
boutique aeroport recherche vendeur conseiller conseil vente clientele tenue caisse commande mise rayon produits,experience min ans vente bac minimum trilingue obligatoire familier logiciels gestion stocks ans disponible horaires decales fins semaine jours feries bonne presentation habitant proche aeroport,vendeur conseiller,0,Support / Service Client,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance produits electriques normes vigueur atout sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite,vendeur conseil electricite,0,Support / Service Client,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins conseiller clients choix produits materiaux construction fonction besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance produits electriques normes vigueur atout sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite,vendeur conseil electricite,0,Support / Service Client,,,,0,0,,,
comprendre besoins client accompagner conseiller recherche produits adaptes besoins fournir informations techniques recommandations caracteristiques materiaux utilisation performance conseiller clients choix produits materiaux construction fonction besoins etre charge agencement magasin rayons suivre etat stock preparation commandes identifier remonter toutes informations anomalies constatees termes prix stock defaut produits etc,titulaire dts commerce marketing dispose experience reussie moins an domaine vente bonne connaissance domaines suivants plomberie sanitaire decoration interieure menuiserie sens commercial relation clientele excellent niveau francais oral comme ecrit dote bel esprit equipe curiosite esprit dynamique souriant honnete integre rigoureux grande disponibilite,vendeur conseil,0,Support / Service Client,,,,0,0,,,
accueillir renseigner clients receptionner articles etiqueter fideliser clients maintenant relation privilegiee durable assurer meilleur service clients traiter reclamations clients assurer bon classement articles propres retournes usine identifier taches anomalies afin limiter litiges lors livraison articles identifier articles delicats vue traitement specifique envoyer articles nettoyer usine enregistrer paiements tenir caisse assurer proprete quotidienne poste travail magasin,bonne presentation bac minimum ans experience poste similaire bonne connaissance word excel mail dynamique autonome serieux disponible suite,vendeur haut niveau,0,Support / Service Client,"vue, sem",,,2,0,,,
cherchons vendeur conseiller specialise domaine electricite dont missions principales comprendre besoins client accompagner conseiller achats preparer commandes gestion stocks facturation encaissement,experience moins an poste similaire maitrise outils informatiques bureautiques logiciels gestion type sage ebp etc maitrise courante francais ecrit oral anglais atout titulaire diplome niveau bac commerce technique connaissances energie solaire fournitures electriques atout sens organisation consciencieux methodique autonome minutieux,vendeur,0,Support / Service Client,sem,,,1,0,,,
acceuillir clients servir clients comprendre besoins client conseiller recherche produits adaptes besoins suivre etat stock prepare responsable commandes assurer faire inventaire tous matins responsable assurer proprete outils travail sol vitrine sns recevoir manieres respectueuses courtoises clients amplifier explications informations eventuelles clients produits vendre donner suggestions si besoin recevoir commandes client tarer produits demandes editer tickets balances suivant marchandises tarees transferer marchandises tickets balances caisse rester jusqu paiement total fait clients livraison,masculin niveau etude formation baccalaureat b connaissances techniques professionnelles sachant parler couramment francais experiences experience annee relative metier vente qualites personnelles honnete souriant accueillant ponctuel grande disponibilite autres rapidite sociabilite bonne presentation,vendeur,0,Support / Service Client,,,,0,0,,,
